survey,loc_id,benthic_feeder,pelagic_feeder,surface_feeder,gu,sandeels_presence,fish_presence,velocity,proportion,npoints,tides
16,15,0,0,0,0,0,0,0.995757617,1.937795604,53,flood
16,16,0,0,0,0,0,0,0.852693731,2.417515153,59,flood
16,17,0,0,0,0,0,0,0.74084082,2.436512019,54,flood
16,18,0,0,0,0,0,0,0.57399868,2.568767679,56,flood
16,19,0,0,0,0,0,0,0.978278575,3.138721784,51,flood
16,2,0,0,0,0,0,0,0.549371196,1.650146623,77,flood
16,20,0,0,0,0,0,0,1.305132446,3.465681196,56,flood
16,21,0,0,0,0,0,0,1.516455776,3.385606469,49,flood
16,22,0,0,0,0,0,0,1.751843674,3.470742256,43,flood
16,23,0,0,0,0,0,0,1.633575487,4.24812741,39,flood
16,24,0,0,0,0,0,0,1.69337175,4.471631688,32,flood
16,25,0,0,0,0,0,0,1.778834143,4.403739643,28,flood
16,26,0,0,0,0,0,0,1.781994708,3.646211583,24,flood
16,27,0,0,0,0,0,0,1.77951788,3.5448606,25,flood
16,28,0,0,0,0,0,0,1.743564577,3.953072423,26,flood
16,29,0,0,0,0,0,0,1.746085857,3.917486964,28,flood
16,3,0,0,0,0,0,0,0.73382196,1.53948144,91,flood
16,30,0,0,0,0,0,0,1.733997848,3.713672242,33,flood
16,31,0,0,0,0,0,0,1.70267041,3.718718128,39,flood
16,32,0,0,0,0,0,0,1.380546045,3.542196932,44,flood
16,33,0,0,0,0,0,0,1.17466478,3.570223864,59,flood
16,34,0,0,0,0,0,0,1.048503558,4.382914065,77,flood
16,35,0,0,0,0,0,0,0.928591129,4.656351366,82,flood
16,36,0,0,0,0,0,0,0.628088549,2.962588373,83,flood
16,4,0,0,0,0,0,0,0.687584228,1.539441623,53,flood
16,5,0,0,0,0,0,0,0.595655435,1.657875314,51,flood
16,6,0,0,0,0,0,0,0.675769113,1.521532263,38,flood
16,7,0,0,0,0,0,0,0.7883189,1.531267032,31,flood
16,8,0,0,0,0,0,0,0.92370503,1.589061333,27,flood
16,9,0,0,0,0,0,0,0.946530018,1.968264429,28,flood
17,1,0,0,0,0,0,0,0.65096858,2.216766313,64,flood
17,10,0,0,0,0,0,0,2.130681227,1.591828182,22,flood
17,11,0,0,0,0,0,0,2.04400772,1.62202776,25,flood
17,12,0,0,0,0,0,0,1.928491111,1.652322333,27,flood
17,13,0,0,0,0,0,0,1.816567457,1.716035171,35,flood
17,14,0,0,0,0,0,0,1.726428328,2.476372869,61,flood
17,15,0,0,0,0,0,0,1.617677552,2.916874264,87,flood
17,16,0,0,0,0,0,0,1.432899216,1.893157706,51,flood
17,17,0,0,0,0,0,0,1.179776533,2.331073156,45,flood
17,18,0,0,0,0,0,0,0.960119565,2.80730875,48,flood
17,19,0,0,0,0,0,0,1.053096157,2.916197071,56,flood
17,2,0,0,0,0,0,0,0.439467418,1.651299916,83,flood
17,20,0,0,0,0,0,0,1.486813431,3.491071908,65,flood
17,21,0,0,0,0,0,0,1.78007134,3.41574586,50,flood
17,22,0,0,0,0,0,0,2.079835381,3.427202262,42,flood
17,23,0,0,0,0,0,0,2.2963185,3.466660794,34,flood
17,24,0,0,0,0,0,0,2.385989276,3.318760552,29,flood
17,25,0,0,0,0,0,0,2.547614556,4.777940333,27,flood
17,26,0,0,0,0,0,0,2.608822435,5.257392348,23,flood
17,27,0,0,0,0,0,0,2.69643813,7.838720348,23,flood
17,28,0,0,0,0,0,0,2.641420783,10.75840913,23,flood
17,29,0,0,0,0,0,0,2.634669667,6.55773937,27,flood
17,3,0,0,0,0,0,0,1.737268454,4.677087617,94,flood
17,30,0,0,0,0,0,0,2.633586321,11.90693468,28,flood
17,31,0,0,0,0,0,0,2.610418513,6.036273821,39,flood
17,32,0,0,0,0,0,0,2.575984519,6.682978407,54,flood
17,33,0,0,0,0,0,0,2.210213652,10.66898943,46,flood
17,34,0,0,0,0,0,0,1.934870219,4.337162438,64,flood
17,35,0,0,0,0,0,0,1.697942302,4.733757854,96,flood
17,36,0,0,0,0,0,0,0.708787697,3.333297803,66,flood
17,4,0,0,0,0,0,0,2.856245689,1.529744644,45,flood
17,5,0,0,0,0,0,0,2.919329333,1.497216576,33,flood
17,6,0,0,0,0,0,0,2.689827393,1.489134143,28,flood
17,7,0,0,0,0,0,0,2.51289092,1.41816144,25,flood
17,8,0,0,0,0,0,0,2.254711095,1.569886905,21,flood
17,9,0,0,0,0,0,0,2.185974,1.576325391,23,flood
18,1,0,0,0,1,0,0,0.331948015,2.606966,71,flood
18,10,0,2,0,1,0,0,1.712472154,1.526117308,26,flood
18,11,0,4,0,36,0,0,1.709481464,1.622757607,28,flood
18,12,0,2,0,14,0,0,1.655433133,1.619500167,30,flood
18,13,0,0,0,0,0,1,1.511150676,1.536859294,34,flood
18,14,0,4,0,12,0,0,1.348723575,1.742113075,40,flood
18,15,0,0,0,3,0,0,1.201592981,1.732078365,52,flood
18,16,0,0,0,0,0,1,1.111156367,1.7179646,60,flood
18,17,0,0,0,0,0,0,0.978041609,2.017436491,55,flood
18,18,0,0,0,0,0,0,0.854972451,2.308930228,57,flood
18,19,0,4,1,0,0,0,0.779144888,4.376199467,60,flood
18,2,0,0,1,1,0,0,0.299440181,1.724220533,75,flood
18,20,0,1,0,1,0,0,1.055701841,3.307710706,51,flood
18,21,0,1,0,2,0,0,1.314202087,3.458571239,46,flood
18,22,0,0,1,1,0,0,1.563632049,3.43305822,41,flood
18,23,0,0,1,1,0,0,1.659316939,3.632944576,33,flood
18,24,0,1,0,1,0,0,1.752724966,3.877739448,29,flood
18,25,1,1,0,1,0,0,1.864946333,4.02188025,24,flood
18,26,0,0,0,0,0,0,1.922308636,4.151907591,22,flood
18,27,0,0,0,0,0,0,2.05542575,4.4070706,20,flood
18,28,0,1,2,0,0,0,2.036437286,4.784994286,21,flood
18,29,0,0,0,2,0,0,2.026018042,5.644695,24,flood
18,3,0,14,2,78,0,0,1.349666878,14.47202227,115,flood
18,30,0,3,0,1,0,0,2.019447444,4.30590037,27,flood
18,31,0,2,0,0,0,0,2.01995475,3.836713031,32,flood
18,32,0,6,0,1,0,0,2.004789075,3.742289575,40,flood
18,33,1,2,3,0,0,0,1.733967367,4.853558265,49,flood
18,34,0,3,0,3,0,0,1.5101633,3.639180643,70,flood
18,35,8,1,0,2,0,0,1.042213095,4.008753137,73,flood
18,36,4,1,0,3,1,0,0.245748658,3.633662045,67,flood
18,4,0,0,1,0,0,0,2.618538395,1.562558256,43,flood
18,5,0,0,0,1,0,0,2.570544189,1.482570811,37,flood
18,6,0,3,0,29,1,0,2.316677382,1.453376206,34,flood
18,7,0,0,0,0,0,0,2.085861806,1.367560968,31,flood
18,8,0,3,0,19,0,1,1.930012778,1.542615593,27,flood
18,9,0,5,0,7,0,0,1.822934692,1.540899077,26,flood
19,1,0,3,1,1,0,0,0.35179646,2.471847429,70,flood
19,10,0,0,0,0,0,0,1.726576154,1.846287308,13,flood
19,11,0,0,0,0,0,0,1.606473133,1.724160733,15,flood
19,12,0,0,0,0,0,0,1.489698824,1.786503941,17,flood
19,13,0,0,0,0,0,0,1.359182263,1.931710053,19,flood
19,14,0,1,0,0,0,0,1.212840192,1.802085808,26,flood
19,15,0,0,0,3,0,0,1.039592973,1.967268433,30,flood
19,16,0,0,0,1,0,0,0.828546274,2.372176971,35,flood
19,17,0,2,0,3,0,0,0.730879587,4.092071044,45,flood
19,18,0,3,3,5,0,0,0.705648007,15.00902042,60,flood
19,19,0,4,2,13,0,0,0.437539034,7.183394475,59,flood
19,2,0,0,0,2,0,0,0.396498586,1.668047657,70,flood
19,20,0,0,3,12,1,0,0.559813541,4.462419333,51,flood
19,21,0,0,2,7,0,0,0.71742302,4.201776667,45,flood
19,22,1,0,1,14,0,0,0.888820521,5.359199441,34,flood
19,23,0,0,0,0,0,0,1.143439655,5.260872138,29,flood
19,24,1,0,0,3,0,0,1.227721739,5.059589391,23,flood
19,25,0,1,0,1,0,0,1.313855818,6.883226409,22,flood
19,26,0,0,4,0,0,0,1.3516788,6.52833085,20,flood
19,27,1,1,0,0,0,0,1.384317632,8.329469316,19,flood
19,28,0,2,0,0,0,0,1.381887211,5.515828895,19,flood
19,29,1,1,1,0,0,0,1.346995714,6.189819667,21,flood
19,3,0,4,2,21,0,0,0.947953867,3.428609336,110,flood
19,30,0,0,1,18,0,0,1.33639275,5.505215125,24,flood
19,31,1,3,1,1,0,0,1.335819606,5.204749091,33,flood
19,32,0,5,4,0,0,0,1.340948421,4.609517237,38,flood
19,33,1,1,3,0,0,0,1.23274728,4.44794942,50,flood
19,34,0,6,3,5,0,0,1.02152309,4.921091176,51,flood
19,35,3,0,0,2,0,0,0.739275425,5.099019437,71,flood
19,36,1,0,0,5,0,0,0.165608029,3.417376787,61,flood
19,4,0,0,0,3,0,0,1.866780378,1.691735867,45,flood
19,5,0,0,0,12,0,0,1.725763033,1.671706233,30,flood
19,6,0,0,0,1,0,0,1.776538091,1.608675318,22,flood
19,7,0,0,0,0,0,0,1.830532133,1.712250467,15,flood
19,8,0,0,0,1,0,0,1.917173333,2.063165067,15,flood
19,9,0,1,0,3,0,0,1.814997357,1.745486,14,flood
2,1,1,0,0,0,0,0,1.056091667,3.442921682,66,ebb
2,10,0,0,0,6,0,1,2.181083207,1.537937276,29,ebb
2,11,0,0,0,5,0,1,2.253167813,1.655644094,32,ebb
2,12,0,0,0,0,0,0,2.426447471,1.5553465,34,ebb
2,13,0,0,0,1,0,1,2.524185385,2.522933462,39,ebb
2,14,0,0,0,0,0,0,1.990543571,13.70120841,70,ebb
2,15,0,2,0,1,0,0,0.994564482,7.583786108,93,ebb
2,16,0,2,0,4,0,0,0.375939752,1.75317446,87,ebb
2,17,0,2,0,0,0,0,0.374172929,2.008118925,84,ebb
2,18,0,4,1,9,0,0,0.178926947,2.550430713,55,ebb
2,19,0,0,0,0,0,0,0.355482685,4.467040415,68,ebb
2,2,0,0,1,1,0,0,1.081513354,2.009442538,65,ebb
2,20,0,0,1,1,0,0,0.795940634,9.564628955,80,ebb
2,21,0,0,1,0,0,0,0.954734209,4.226659438,65,ebb
2,22,0,1,0,0,0,0,0.624801576,5.13098404,67,ebb
2,23,0,0,0,0,0,0,0.571042999,5.200999668,73,ebb
2,24,0,0,0,0,0,0,0.974954741,4.892441054,145,ebb
2,25,0,0,0,0,0,0,1.143191458,4.94592034,48,ebb
2,26,0,0,0,0,0,0,1.246479256,4.604633928,43,ebb
2,27,0,0,0,0,0,0,1.246305667,4.33348376,39,ebb
2,28,0,0,0,0,0,0,1.202411838,4.420464164,37,ebb
2,29,0,0,0,1,0,0,1.180657257,3.781881361,35,ebb
2,3,0,7,0,9,0,0,1.246986197,1.995333689,61,ebb
2,30,0,2,0,0,0,0,1.331361556,3.948158355,36,ebb
2,31,0,0,0,3,0,0,1.364239811,3.900055726,37,ebb
2,32,1,0,0,0,0,0,1.3733265,3.893013126,46,ebb
2,33,0,0,0,1,0,0,1.263549483,3.599094149,58,ebb
2,34,1,0,1,2,0,0,1.20299073,3.779783197,74,ebb
2,35,2,0,0,1,0,0,1.272916267,5.130485367,60,ebb
2,36,3,0,0,0,0,0,1.140490305,4.163183508,59,ebb
2,4,0,1,0,2,0,0,1.49514469,1.686529738,42,ebb
2,5,0,1,0,0,0,1,1.663144514,1.656419351,37,ebb
2,6,0,2,0,0,0,1,1.803775133,1.513929867,30,ebb
2,7,0,7,0,65,0,1,1.936825852,1.842215444,27,ebb
2,8,0,0,0,1,0,1,2.027529375,2.976987375,24,ebb
2,9,0,0,0,0,0,1,2.117934923,3.002215538,26,ebb
20,10,0,0,0,0,0,0,0.660167138,1.769434857,21,flood
20,11,0,0,1,0,0,0,0.627968075,1.85910225,24,flood
20,12,0,0,0,0,0,0,0.594914492,1.89374925,24,flood
20,13,0,2,0,6,0,0,0.562873769,2.054750276,29,flood
20,14,0,0,0,0,0,0,0.530988439,2.047163879,33,flood
20,15,0,0,1,2,0,0,0.50251863,2.151842817,60,flood
20,16,0,1,0,10,0,0,0.503713813,2.033593358,67,flood
20,17,0,0,2,9,0,0,0.528964084,2.664895377,61,flood
20,18,1,2,1,0,0,0,0.463334949,5.576182279,68,flood
20,19,0,0,0,0,0,0,0.4371144,6.231744,1,flood
20,3,0,0,0,0,0,0,0.746409382,2.094493765,17,flood
20,4,0,0,0,1,0,0,0.930892016,1.833368182,44,flood
20,5,1,4,1,0,0,0,0.827717,1.694037912,34,flood
20,6,2,0,0,0,0,0,0.662315486,1.603872172,29,flood
20,7,0,0,0,1,0,0,0.582856867,2.021664083,24,flood
20,8,0,0,0,2,0,1,0.702940413,1.685315435,23,flood
20,9,0,0,0,4,0,1,0.700843409,2.157298174,23,flood
21,1,0,0,0,0,0,0,1.04121325,3.033615933,60,ebb
21,10,0,0,0,0,0,0,0.296030111,2.792397632,19,ebb
21,11,0,0,0,1,0,0,0.274291705,2.194903286,21,ebb
21,12,0,0,0,0,0,0,0.258678845,2.254614636,22,ebb
21,13,0,0,0,5,0,0,0.248101158,2.189679077,26,ebb
21,14,0,0,0,0,0,0,0.240734078,2.361362188,32,ebb
21,15,0,0,0,0,0,0,0.224585848,2.302389217,46,ebb
21,16,0,0,0,0,0,0,0.209143641,3.09508513,54,ebb
21,17,0,0,0,12,0,0,0.134390602,4.133186475,61,ebb
21,18,0,0,0,3,0,1,0.067625655,6.995559862,65,ebb
21,19,2,0,2,9,0,0,0.043396063,28.52651799,90,ebb
21,2,0,0,0,0,0,0,1.066009639,1.950450311,61,ebb
21,20,0,0,2,3,0,1,0.133661227,25.68886663,63,ebb
21,21,3,0,7,3,0,0,0.35483107,24.74387871,459,ebb
21,22,0,0,1,2,0,0,0.873794966,9.206000662,275,ebb
21,23,0,0,0,0,0,0,1.140024231,12.40449,134,ebb
21,24,0,0,0,0,0,0,0.992130071,3.579334613,31,ebb
21,25,0,0,0,0,0,0,0.932876904,3.696407958,24,ebb
21,26,0,0,0,0,0,0,0.876170786,3.458222318,22,ebb
21,27,0,0,0,0,0,0,0.835490415,4.2154363,20,ebb
21,28,0,0,0,0,0,0,0.995367938,5.988970238,21,ebb
21,29,1,0,0,0,0,0,1.086588152,7.406339424,33,ebb
21,3,0,1,0,3,0,0,0.965686203,1.709872234,64,ebb
21,30,0,0,1,0,0,0,1.104010114,5.023899023,44,ebb
21,31,0,0,1,1,0,0,1.131260098,4.403114878,41,ebb
21,32,0,0,3,0,0,0,1.140660682,4.359663432,44,ebb
21,33,2,0,0,1,0,0,1.047382556,5.416018556,54,ebb
21,34,0,0,1,2,0,0,1.056116222,12.67969786,74,ebb
21,35,0,0,0,1,0,0,1.146522908,12.11586636,76,ebb
21,36,0,0,1,0,0,0,1.076987167,4.746955683,60,ebb
21,4,0,0,2,4,0,0,0.754441152,2.84471929,69,ebb
21,5,0,0,0,2,0,0,0.742894235,2.611192588,34,ebb
21,6,0,0,0,0,0,0,0.526476813,2.292260133,30,ebb
